설정거리_m,GT거리_mm,frame,마스크IoU,오선택,화면잘림,GT면적px,coarse_R_deg,coarse_t_mm,refined_R_deg,refined_t_mm,RH1_R_deg,RH1_t_mm,RH1_ADD_mm,RH1_KPI
0.70,676.4,frame_0014,0.9843,0,0,148600,0.5389,0.3897,0.8941,2.4081,0.5389,2.4081,2.9243,1
0.70,701.9,frame_0015,0.9882,0,0,133204,0.3084,0.8213,0.6355,2.6103,0.3084,2.6103,2.8863,1
0.70,713.4,frame_0016,0.9876,0,0,125739,1.3955,0.935,1.71,1.4087,1.3955,1.4087,2.3895,1
0.70,694.4,frame_0017,0.9861,0,0,133060,0.1913,4.4229,1.6428,1.8414,0.1913,1.8414,2.0174,1
0.70,685.5,frame_0018,0.9883,0,0,148531,0.5813,2.0847,0.9768,2.7398,0.5813,2.7398,3.2778,1
0.70,671.6,frame_0019,0.9774,0,0,130580,0.9959,4.3329,0.7997,1.3651,0.9959,1.3651,2.1876,1
0.70,683.9,frame_0020,0.9774,0,0,124041,0.4544,1.0877,2.1274,1.6152,0.4544,1.6152,1.8886,1
0.70,729.6,frame_0021,0.9864,0,0,119085,0.477,2.5728,1.2722,2.3201,0.477,2.3201,2.1509,1
0.70,678.9,frame_0022,0.9769,0,0,124380,1.0659,2.7018,3.1635,1.9618,1.0659,1.9618,2.9737,1
0.70,719.5,frame_0023,0.9775,0,0,80161,0.351,5.3393,1.0188,1.57,0.351,1.57,1.4756,1
0.70,674.8,frame_0024,0.9853,0,0,154989,0.3342,1.8587,2.0271,2.1906,0.3342,2.1906,2.4153,1
0.70,706.6,frame_0025,0.9791,0,0,132726,0.5152,0.9316,1.088,1.7205,0.5152,1.7205,2.1718,1
0.70,707.9,frame_0026,0.9818,0,0,144967,0.3224,1.8846,1.0904,1.6824,0.3224,1.6824,1.6141,1
0.70,701.7,frame_0027,0.9863,0,0,103496,0.4772,2.5623,0.9822,1.4352,0.4772,1.4352,1.8289,1
0.70,687.6,frame_0028,0.9888,0,0,146388,0.1943,2.1366,0.952,2.0089,0.1943,2.0089,2.0565,1
0.70,686.7,frame_0029,0.985,0,0,138975,0.7762,1.7925,1.0542,2.2324,0.7762,2.2324,2.989,1
0.70,677.9,frame_0030,0.9878,0,0,158378,0.2897,2.1328,1.5684,1.2089,0.2897,1.2089,1.1703,1
0.70,705.8,frame_0031,0.9883,0,0,132176,0.3355,3.9135,0.9544,1.8074,0.3355,1.8074,1.7319,1
0.70,695.9,frame_0032,0.9826,0,0,124452,0.2052,1.6657,2.1913,2.6463,0.2052,2.6463,2.6511,1
0.70,698.1,frame_0033,0.9825,0,0,124090,0.4482,1.0931,1.3065,1.7197,0.4482,1.7197,1.9947,1
0.70,695.7,frame_0034,0.9842,0,0,147239,0.4646,0.6546,1.0064,1.7896,0.4646,1.7896,2.0956,1
0.70,684.9,frame_0035,0.9744,0,0,153073,0.4225,2.2134,1.5342,1.722,0.4225,1.722,1.7297,1
0.70,679.1,frame_0036,0.9874,0,0,161599,0.5326,3.32,0.657,2.849,0.5326,2.849,2.8104,1
0.70,723.0,frame_0037,0.9865,0,0,143176,0.5046,0.9742,0.7999,2.6625,0.5046,2.6625,2.9355,1
0.70,698.6,frame_0038,0.9871,0,0,121744,1.1212,3.1534,1.1363,1.217,1.1212,1.217,2.4284,1
0.70,717.1,frame_0039,0.9874,0,0,140046,0.3001,1.9531,1.8064,1.7218,0.3001,1.7218,1.6286,1
0.70,715.7,frame_0040,0.9861,0,0,129359,0.5351,3.1935,1.9143,1.5438,0.5351,1.5438,1.809,1
0.70,681.9,frame_0041,0.9864,0,0,154644,0.1942,2.7608,2.7437,4.1683,0.1942,4.1683,4.3158,1
0.70,726.2,frame_0042,0.983,0,0,120153,0.2615,2.2642,1.9141,2.6762,0.2615,2.6762,2.6966,1
0.70,681.3,frame_0043,0.9865,0,0,147805,0.4988,2.21,1.074,1.1609,0.4988,1.1609,1.6058,1
0.70,696.5,frame_0044,0.989,0,0,152157,0.5716,2.9114,1.3553,1.3405,0.5716,1.3405,1.4513,1
0.70,690.6,frame_0045,0.9718,0,0,117932,0.6829,2.0991,1.3568,2.2686,0.6829,2.2686,2.9023,1
0.70,725.7,frame_0046,0.9866,0,0,139246,0.4709,2.9805,1.2069,2.2282,0.4709,2.2282,2.5385,1
0.70,702.6,frame_0047,0.9804,0,0,128248,1.0661,3.5976,0.9554,1.5551,1.0661,1.5551,2.6322,1
0.70,726.4,frame_0048,0.9879,0,0,152533,0.7783,3.076,0.936,1.1829,0.7783,1.1829,1.6236,1
0.70,724.1,frame_0049,0.9803,0,0,120324,0.4941,1.2909,1.9215,2.2474,0.4941,2.2474,2.5521,1
0.80,788.5,frame_0000,0.9828,0,0,118295,0.372,3.8104,1.8293,1.5951,0.372,1.5951,1.5539,1
0.80,787.0,frame_0001,0.9881,0,0,126302,0.6392,3.3119,0.8357,1.7514,0.6392,1.7514,1.9644,1
0.80,808.1,frame_0002,0.9845,0,0,99560,0.8208,4.3297,1.7411,1.7046,0.8208,1.7046,2.3633,1
0.80,821.4,frame_0003,0.9867,0,0,95602,0.4314,4.0646,1.4328,2.8857,0.4314,2.8857,3.0896,1
0.80,822.7,frame_0004,0.9854,0,0,105802,0.4385,3.3211,1.7679,2.1231,0.4385,2.1231,2.0239,1
0.80,781.6,frame_0005,0.9718,0,0,111621,0.2584,2.6581,1.5729,2.4156,0.2584,2.4156,2.4147,1
0.80,828.1,frame_0006,0.9856,0,0,90907,0.9999,2.9689,1.1739,1.4095,0.9999,1.4095,2.3061,1
0.80,793.5,frame_0007,0.9841,0,0,120870,0.4976,4.4844,0.2994,2.0595,0.4976,2.0595,2.1332,1
0.80,811.1,frame_0008,0.9893,0,0,119673,0.3813,3.8738,0.8802,2.1068,0.3813,2.1068,2.0345,1
0.80,805.0,frame_0009,0.9727,0,0,109925,0.2102,1.6447,3.9943,4.5619,0.2102,4.5619,4.5854,1
0.80,814.9,frame_0010,0.9814,0,0,100531,0.8975,2.936,1.1268,3.4422,0.8975,3.4422,4.0848,1
0.80,781.0,frame_0011,0.9847,0,0,106502,0.8773,3.5616,1.1526,1.653,0.8773,1.653,2.3928,1
0.80,804.3,frame_0012,0.9771,0,0,105566,0.9374,5.1742,0.3403,2.2466,0.9374,2.2466,2.6182,1
0.80,807.4,frame_0013,0.9841,0,0,101751,0.6034,1.7597,1.5859,2.0734,0.6034,2.0734,2.2159,1
0.80,776.4,frame_0014,0.9832,0,0,117610,0.5678,0.2344,0.4424,1.8239,0.5678,1.8239,2.3437,1
0.80,801.9,frame_0015,0.9868,0,0,103064,0.2271,1.784,0.4606,2.7631,0.2271,2.7631,2.9057,1
0.80,813.4,frame_0016,0.9879,0,0,99584,1.4687,1.1495,1.9806,2.5904,1.4687,2.5904,3.5412,1
0.80,794.4,frame_0017,0.9864,0,0,102535,0.2713,5.1694,0.7847,1.8963,0.2713,1.8963,2.1487,1
0.80,785.5,frame_0018,0.972,0,0,99005,0.9592,2.4234,3.5396,2.7896,0.9592,2.7896,3.481,1
0.80,810.8,frame_0019,0.9883,0,0,119585,0.5858,1.0207,0.5298,2.8003,0.5858,2.8003,3.1238,1
0.80,812.9,frame_0020,0.9838,0,0,117991,0.5985,2.1141,0.8788,3.8678,0.5985,3.8678,4.1906,1
0.80,800.2,frame_0021,0.0001,1,0,72766,140.4433,500.8787,133.8475,488.1915,140.4433,488.1915,516.3399,0
0.80,772.3,frame_0022,0.979,0,0,99011,0.3289,1.2663,0.8898,2.8774,0.3289,2.8774,2.9971,1
0.80,820.1,frame_0023,0.9838,0,0,100675,0.5601,2.8607,2.3019,2.6926,0.5601,2.6926,3.1466,1
0.80,777.8,frame_0024,0.9866,0,0,102634,0.8074,1.9403,1.601,3.1256,0.8074,3.1256,3.4106,1
0.80,774.6,frame_0025,0.9867,0,0,106549,0.5793,3.5701,1.4861,2.0793,0.5793,2.0793,2.2737,1
0.80,813.2,frame_0026,0.9871,0,0,116819,0.4056,2.0237,1.4618,2.2536,0.4056,2.2536,2.2366,1
