설정거리_m,GT거리_mm,frame,마스크IoU,오선택,화면잘림,GT면적px,coarse_R_deg,coarse_t_mm,refined_R_deg,refined_t_mm,RH1_R_deg,RH1_t_mm,RH1_ADD_mm,RH1_KPI
0.40,374.8,frame_0026,0.9865,0,0,448256,0.5527,1.6063,1.4885,0.889,0.5527,0.889,1.1611,1
0.40,406.6,frame_0027,0.981,0,1,408387,0.8851,2.175,1.1683,1.6652,0.8851,1.6652,2.0743,1
0.40,407.9,frame_0028,0.9873,0,0,382698,0.4965,1.8692,1.4806,1.0013,0.4965,1.0013,1.3378,1
0.40,401.7,frame_0029,0.9847,0,0,290264,0.6799,5.1356,0.8992,0.7166,0.6799,0.7166,1.1652,1
0.40,387.6,frame_0030,0.8944,0,0,426945,0.3923,2.5449,0.3424,0.5901,0.3923,0.5901,0.7915,1
0.40,386.7,frame_0031,0.0,1,1,403660,92.7129,1224.2279,94.5663,1195.7976,92.7129,1195.7976,1190.5688,0
0.40,377.9,frame_0032,0.9881,0,0,447049,0.7036,0.677,1.5445,0.7602,0.7036,0.7602,1.3474,1
0.40,405.8,frame_0033,0.989,0,0,385641,0.3632,3.7432,0.8715,1.1736,0.3632,1.1736,1.5165,1
0.40,395.9,frame_0034,0.9862,0,0,377947,0.324,2.7326,1.1404,1.2168,0.324,1.2168,1.2835,1
0.40,398.1,frame_0035,0.9172,0,0,372176,0.5408,2.0766,5.63,2.8209,0.5408,2.8209,2.9271,1
0.40,395.7,frame_0036,0.9863,0,0,402168,0.5984,4.416,0.9686,1.6691,0.5984,1.6691,2.1646,1
0.40,384.9,frame_0037,0.9312,0,0,419637,0.1954,0.9665,1.7269,1.2451,0.1954,1.2451,1.3913,1
0.40,379.1,frame_0038,0.9883,0,0,464524,0.5155,4.6358,1.2755,0.8654,0.5155,0.8654,1.1166,1
0.40,423.0,frame_0039,0.0,1,0,280439,150.5663,639.6516,157.0079,615.0301,150.5663,615.0301,594.6808,0
0.40,373.5,frame_0040,0.9884,0,0,461079,0.2492,2.5513,1.0212,2.0057,0.2492,2.0057,2.2016,1
0.40,404.1,frame_0041,0.9903,0,0,367287,0.2882,3.1228,1.5581,0.9484,0.2882,0.9484,1.1564,1
0.40,409.2,frame_0042,0.9867,0,1,416250,0.264,2.2177,1.4138,1.3601,0.264,1.3601,1.4783,1
0.40,417.2,frame_0043,0.9892,0,0,364769,0.5034,3.6141,1.418,1.0887,0.5034,1.0887,1.1963,1
0.40,409.7,frame_0044,0.9886,0,0,412239,0.4727,3.4765,0.9387,0.8909,0.4727,0.8909,1.1268,1
0.40,419.3,frame_0045,0.9893,0,0,345170,0.9503,2.495,1.6894,1.5176,0.9503,1.5176,2.1959,1
0.40,384.5,frame_0046,0.0,1,0,370848,153.1667,389.3071,154.2438,378.3575,153.1667,378.3575,376.6422,0
0.40,381.8,frame_0047,0.0,1,0,398787,149.2206,309.7838,151.7416,302.2721,149.2206,302.2721,312.6859,0
0.40,397.1,frame_0048,0.9861,0,0,375511,0.4403,0.6983,1.0274,1.2439,0.4403,1.2439,1.6852,1
0.40,421.7,frame_0049,0.9893,0,1,437834,0.5499,1.8157,0.8998,1.9327,0.5499,1.9327,2.0992,1
0.50,488.5,frame_0000,0.9866,0,0,276726,0.8979,1.8503,1.639,1.6034,0.8979,1.6034,2.2129,1
0.50,487.0,frame_0001,0.9891,0,0,303958,0.6519,2.9734,1.1503,0.932,0.6519,0.932,1.5238,1
0.50,508.1,frame_0002,0.9879,0,0,244714,0.6614,3.4987,1.1191,1.4013,0.6614,1.4013,2.0796,1
0.50,521.4,frame_0003,0.9841,0,0,216588,0.2552,2.4078,1.4797,1.9582,0.2552,1.9582,1.9511,1
0.50,522.7,frame_0004,0.9791,0,0,236969,0.562,1.3554,1.7654,2.0908,0.562,2.0908,2.2792,1
0.50,481.6,frame_0005,0.9795,0,0,272674,0.3432,3.2481,1.2917,0.9973,0.3432,0.9973,1.1027,1
0.50,528.1,frame_0006,0.9878,0,0,212729,0.1083,1.9082,0.7338,1.1126,0.1083,1.1126,1.0884,1
0.50,493.5,frame_0007,0.9881,0,0,279181,0.3839,2.5026,0.7033,1.0689,0.3839,1.0689,1.273,1
0.50,511.1,frame_0008,0.9875,0,0,282804,0.6916,2.7988,1.1592,2.2178,0.6916,2.2178,2.4367,1
0.50,505.0,frame_0009,0.0,1,0,228711,98.326,369.8232,103.5239,356.7362,98.326,356.7362,397.2404,0
0.50,482.6,frame_0010,0.985,0,0,248003,0.8571,2.4566,0.5696,0.9841,0.8571,0.9841,1.6106,1
0.50,514.9,frame_0011,0.9626,0,0,250296,0.7498,0.973,1.0725,1.6968,0.7498,1.6968,2.2908,1
0.50,481.0,frame_0012,0.0,1,0,249638,0.9727,6.2588,1.1446,1.3836,0.9727,1.3836,2.354,1
0.50,504.3,frame_0013,0.9791,0,0,235037,0.6066,1.4694,0.6393,2.7392,0.6066,2.7392,2.7531,1
0.50,507.4,frame_0014,0.9862,0,0,236340,0.7766,0.7418,1.6533,0.8801,0.7766,0.8801,1.5216,1
0.50,476.4,frame_0015,0.986,0,0,270225,0.4415,2.242,0.8302,2.1526,0.4415,2.1526,2.5174,1
0.50,501.9,frame_0016,0.9886,0,0,255370,0.3242,2.8438,0.8282,1.7552,0.3242,1.7552,1.9619,1
0.50,513.4,frame_0017,0.9904,0,0,232743,0.3153,0.6378,1.1643,0.5498,0.3153,0.5498,0.6705,1
0.50,494.4,frame_0018,0.9867,0,0,256868,0.4649,3.6444,0.8827,1.3395,0.4649,1.3395,1.5458,1
0.50,485.5,frame_0019,0.9686,0,0,286173,0.6828,2.7765,0.8269,1.6453,0.6828,1.6453,2.2485,1
0.50,471.6,frame_0020,0.986,0,0,253131,0.3675,1.6317,1.498,0.903,0.3675,0.903,1.0128,1
0.50,483.9,frame_0021,0.9795,0,0,243404,0.5255,2.7889,1.7012,0.5407,0.5255,0.5407,1.0596,1
0.50,529.6,frame_0022,0.9891,0,0,221858,0.5326,2.6421,0.9486,1.455,0.5326,1.455,1.5354,1
0.50,478.9,frame_0023,0.8615,0,0,231223,1.5394,5.6825,3.1312,0.9048,1.5394,0.9048,2.3612,1
0.50,519.5,frame_0024,0.2607,1,0,144935,1.0052,2.3756,1.2786,0.9936,1.0052,0.9936,1.8922,1
0.50,474.8,frame_0025,0.9857,0,0,289529,0.6698,2.6804,1.2456,1.8829,0.6698,1.8829,2.0081,1
0.50,506.6,frame_0026,0.9555,0,0,257692,0.4207,1.1561,1.1131,1.7873,0.4207,1.7873,1.992,1
0.50,507.9,frame_0027,0.9745,0,0,256801,0.7209,2.208,1.2207,1.9468,0.7209,1.9468,2.1304,1
0.50,501.7,frame_0028,0.9866,0,0,192420,0.8914,2.4568,0.9896,1.0325,0.8914,1.0325,1.7369,1
0.50,487.6,frame_0029,0.8987,0,0,276713,0.1775,2.5946,0.6263,0.5694,0.1775,0.5694,0.6169,1
0.50,486.7,frame_0030,0.952,0,0,258472,0.7794,2.1087,1.0113,2.3926,0.7794,2.3926,3.1714,1
0.50,477.9,frame_0031,0.989,0,0,295355,0.4679,1.2551,1.6653,0.254,0.4679,0.254,0.744,1
0.50,505.8,frame_0032,0.988,0,0,252268,0.4593,2.2776,1.1639,2.0913,0.4593,2.0913,2.3938,1
0.50,495.9,frame_0033,0.986,0,0,238944,0.481,4.3667,1.7832,1.4561,0.481,1.4561,1.5827,1
0.50,498.1,frame_0034,0.9147,0,0,239829,0.3242,2.2395,0.6351,0.696,0.3242,0.696,0.9764,1
0.50,495.7,frame_0035,0.9855,0,0,269516,0.4642,2.901,1.0299,2.1006,0.4642,2.1006,2.331,1
0.50,484.9,frame_0036,0.9853,0,0,276104,0.4689,1.7064,1.8201,1.4219,0.4689,1.4219,1.4426,1
0.50,479.1,frame_0037,0.9882,0,0,300040,0.2124,3.5298,1.1828,1.1983,0.2124,1.1983,1.1735,1
0.50,523.0,frame_0038,0.0,1,0,186069,171.0606,593.2202,170.1658,567.5082,171.0606,567.5082,553.9689,0
0.50,473.5,frame_0039,0.9853,0,0,303115,0.7547,1.4356,1.0306,0.9585,0.7547,0.9585,1.4514,1
0.50,504.1,frame_0040,0.9882,0,0,245091,0.5804,3.103,1.851,1.0997,0.5804,1.0997,1.5843,1
0.50,509.2,frame_0041,0.9862,0,0,288308,0.1071,1.318,1.7107,1.5231,0.1071,1.5231,1.4923,1
0.50,517.2,frame_0042,0.9873,0,0,240667,0.5091,2.1872,1.1511,2.5269,0.5091,2.5269,2.4342,1
0.50,509.7,frame_0043,0.9865,0,0,277169,0.225,2.7508,1.3585,1.9195,0.225,1.9195,2.0335,1
0.50,519.3,frame_0044,0.9898,0,0,226156,0.3602,2.947,0.903,2.0238,0.3602,2.0238,2.0626,1
0.50,484.5,frame_0045,0.9877,0,0,251925,0.8289,3.132,1.7765,1.1113,0.8289,1.1113,1.5411,1
0.50,481.8,frame_0046,0.0,1,0,247417,170.5117,272.9819,157.8262,246.6568,170.5117,246.6568,292.1298,0
0.50,497.1,frame_0047,0.9889,0,0,248903,0.2049,1.7017,1.1999,1.8289,0.2049,1.8289,1.8876,1
0.50,521.7,frame_0048,0.9892,0,0,291154,0.5736,2.9407,1.0974,2.6176,0.5736,2.6176,2.5767,1
0.50,484.6,frame_0049,0.9899,0,0,310122,0.1976,2.1359,1.0719,0.8537,0.1976,0.8537,0.9015,1
0.60,588.5,frame_0000,0.9866,0,0,198631,1.0513,2.2756,1.7434,1.1529,1.0513,1.1529,2.0944,1
0.60,587.0,frame_0001,0.9895,0,0,215928,0.5499,2.6431,0.9397,0.9399,0.5499,0.9399,1.1651,1
0.60,608.1,frame_0002,0.986,0,0,172588,0.5748,2.5962,0.9253,1.3726,0.5748,1.3726,1.8455,1
0.60,621.4,frame_0003,0.9869,0,0,158186,0.3171,2.281,1.2718,2.5933,0.3171,2.5933,2.4229,1
0.60,622.7,frame_0004,0.9839,0,0,173911,0.2048,1.4289,2.0227,2.4985,0.2048,2.4985,2.6653,1
0.60,581.6,frame_0005,0.975,0,0,192802,0.1559,1.7673,1.4304,1.2077,0.1559,1.2077,1.2733,1
0.60,628.1,frame_0006,0.9872,0,0,153637,0.3957,2.1925,0.9449,1.0664,0.3957,1.0664,1.2814,1
0.60,593.5,frame_0007,0.9866,0,0,200519,0.3044,3.4808,0.6954,1.4198,0.3044,1.4198,1.5124,1
0.60,611.1,frame_0008,0.9887,0,0,202222,0.4597,2.2489,1.7301,2.437,0.4597,2.437,2.5822,1
0.60,605.0,frame_0009,0.9829,0,0,163492,0.4695,1.7589,1.7803,2.9802,0.4695,2.9802,3.1029,1
0.60,582.6,frame_0010,0.7519,0,0,176866,0.6923,2.0606,0.9661,2.8586,0.6923,2.8586,2.7903,1
0.60,614.9,frame_0011,0.9801,0,0,175570,1.0776,3.4559,0.9567,1.9956,1.0776,1.9956,2.9155,1
0.60,581.0,frame_0012,0.0,1,0,179603,0.8391,4.9046,0.8099,1.4039,0.8391,1.4039,2.2752,1
0.60,604.3,frame_0013,0.9787,0,0,172504,0.6537,2.2469,0.607,2.6701,0.6537,2.6701,2.6265,1
0.60,607.4,frame_0014,0.0,1,0,169953,2.1442,10.3682,1.2371,0.3635,2.1442,0.3635,2.8986,1
